id,type,canonical_name,introduced_floor,description,system_quote,notes
kiwi,character,Kiwi,6,,They say an asteroid is what wiped out the dinosaurs on this planet…,
krakaren_crotch_dumplings,monster,Krakaren Crotch Dumplings,4,Each Crotch Dumpling is about the size of a grain of rice.,"Once upon a time, on a distant planet, there lived a lonely creature…",
kravyad,monster,Kravyad,4,There are a few dozen Kravyad that work directly under Madison on the Iron Tangle as part of the human resources department. They are a part of management's initiative to increase productivity. The Kravyad hypnotize the conductors and porters so they don't remember their break time and are less likely to ask for time off if they don't remember time between shifts.,,
kua_tin_rebreather,item,Kua-Tin Rebreather,5,"A Kua-Tin Rebreather is roughly the size of a cat collar, and can only be equipped by knee-height creatures with gills. The small, barely noticeable device wraps around the wearer's throat to cover their gills, and occasionally sprays water and mist. Kua-Tin generally wear a Rebreather on dry land.",,
laundry_day_spell,skill,Laundry Day Spell,6,"Removes a random piece of armor from the target and causes it to fall on the floor. The effectiveness of the spell scales with level. Initially it can only target minor pieces of armor, but at level 5 it can target breastplates or the equivalent. At level 10, it can strip an opponent bare. At level 15, it can target multiple opponents.",,
lazarus_a_bang_bang,character,Lazarus-A-Bang-Bang,8,,"It’s the calamitous, rapturous, and ultimately hazardous master of the life-death boomerang…",
left_fang_of_the_green_sultan,item,Left Fang of the Green Sultan,4,"The saber is part of an enchanted set, but the magical abilities only apply when the set is together.",,
legba,character,Legba,8,"During the Thorn Room Boss Battle, if his shrine is repaired: “If repaired, will give everyone a fifty percent chance to avoid all future smites. All will learn the level-15 Confusing Fog Spell. Legba will ascend.”",,
legionnaires_of_the_damned_spell,skill,Legionnaires of the Damned Spell,8,"The tome has a bumpy leather cover and is dictionary-thick, and chained shut with a lock. Wisps of purple smoke emanate from it, and the book itself is squishy and warm; it quivers and wriggles. (Apparently, quivering is a thing that tomes of powerful summoning spells sometimes do.) When a crawler applies the spell, the book lets out a little scream as it disappears in a puff of purple smoke.",Tome of Legionnaires of the Damned…,
leon,character,Leon,5,,"A master politician and stickler for rules, Leon might have been a tax attorney in another life…",
letter_from_the_council,item,Letter from the Council,5,,,
letter_from_the_glass_wizard,item,Letter from the Glass Wizard,5,,,
limp_richard,character,Limp Richard,4,"Described as a short, squat anthropomorphized mole, complete with reading glasses. He sits in the doorway to his shop reading a book. He runs a general store, but most of the products are not very noteworthy.","Mole men and mole women actually just call themselves “Men” and “Women,” and quite frankly, it’s exhausting…",
liquid_therapy,item,Liquid Therapy,8,,,
literal_fire_ants,monster,Literal Fire Ants,4,,"This is a trap monster. Like regular fire ants, but with more enthusiasm…",
live_ammo_ball,item,Live Ammo Ball,5,,Live ammo balls are a common and versatile ranged weapon of the Dirigible Gnomes…,
loot_punch_card,item,Loot Punch Card,8,The Loot Punch Card is a little piece of paper with five slots with one slot punched out with a hole in the shape of a foot when Carl receives it. It reads: “Picked up Celestial Items Off the Floor. Fill the card for a special prize.”,,
louis,character,Louis,5,"Louis is a Crawler from Miami who initially tries to avoid combat at all costs. He and his best friend Firas spend the early floors drunk, using Cloud of Exhaust to knock mobs unconscious and then fleeing rather than fighting, a habit that leaves him badly under-leveled; Mordecai judges he should have reached Level 40 by the Fifth Floor given the strength of the spell.",,
low_thi,character,Low Thi,5,,,
lucky_bitch_box,item,Lucky Bitch Box,9,,,
lunette,character,Lunette,6,Princess Lunette was tsarina of the Naiad on the Sixth Floor until the Naiad Confederacy usurped the crown. She was a powerful sorcerer that practiced Heirloom magic (specifically the Water Lily Spell and taught it to her daughter.,,
lusca,character,Lusca,5,,Sharktopus is much cooler sounding than Octo-Shark…,
madison,character,Madison,4,"Madison is the benefits manager for the Kravyad and the Station Mimics. Her ex-husband Rod is with Doris, the person over in Substation B in charge of the Krakaren Clone (Fourth Floor).","Madison’s real name was probably something like Jennifer or Ruth, but she had it legally changed to something more trendy right around the same time as…",
makeup_sex_is_the_best_sex_box,item,Makeup Sex is the Best Sex Box,5,,,
male_thorny_devil,monster,Male Thorny Devil,5,,These pokey fuckers are pretty common in desert-themed worlds…,
mantaur,monster,ManTauR,4,"A mantaur is like a centaur, but the standard human torso sprouts from a larger human body, right where the neck would be. The smaller upper half supports a human head and a set of arms; the larger lower half has another set of big, muscular arms and legs. Mantaurs run and stand on all four rear limbs. Their voices sound human, but they speak loudly and boisterously.","Of Gore-Gore: Of all the ‘taurs out there, from Centaurs to Bisontaurs to Rhinotaurs, the ManTauR is one of the weirdest…",
massage_coupon,item,Massage Coupon,8,Entitles the owner plus one companion to a one hour massage at the penis parade or penis palace backroom relaxation spa. Carl received one of these from a gold fan box.,Has work been getting you down?…,
meatus,character,Meatus,9,,,
midnight_epicure_upgrade_patch,item,Midnight Epicure Upgrade Patch,6,"A medium-sized patch made of a black, denim-like material with a grey satanic goat head screen-printed on it.",This scary-ass fable is used to terrify children across the universe…,
monk_seal,monster,Monk Seal,8,,"Description of Yago, the Monk Seal Picket Sentry Ahh, the monk seal…",
mute_spell,skill,Mute Spell,8,,,
mysterious_bone_key_benefit,skill,Mysterious Bone Key Benefit,8,,Mysterious Bone Key This benefit may only be used once for obvious reasons…,
nadine,character,Nadine,6,,They're super fuzzy and kinda cute as long as you don't look at their faces…,
naiad_confederacy,faction,Naiad Confederacy,6,The Confederacy is an isolationist group that drowns outsiders who enter their area.,,
nebular,faction,Nebular,6,"Nebulars do not actively recruit, but their members consist of Soothers, Humans, elves, and dozens of other aliens from across the galaxy. They all wear the same robes and large hats. Nebulars mechanically and biologically augment themselves as a form of sacrament.",,
necklace_of_indelible_woe,item,Necklace of Indelible Woe,9,"The necklace used to be a popular item used ""a long time ago,"" however now it is much less frequently used, replaced by the now much more used Enchanted Night Wyrm's Ring of Divine Suffering. This was because combatants were killing crawlers en masse to grow their power. Carl does not see a difference between the two power stealing artifacts, but Tipid insists that the necklace is much worse.",,
night_weasel,monster,Night Weasel,6,,This a pet of Hunter Zabit…,
night_wyrm_s_nasty_little_web_of_suffering_tattoo,item,Night Wyrm's Nasty Little Web of Suffering Tattoo,6,,Bearers of this sigil are given access to the Guild of Suffering.,
nightmare_express,item,Nightmare Express,4,"The Nightmare Express is an old-school steam engine, painted jet black, with a wedge-shaped cowcatcher. It has about 40 cars, mostly open-topped livestock freight, of which 14 appear to be filled with monstrosities. It runs on Sheol Bricks. The train has a single entrance in the caboose at the rear and a single exit in a passenger car at the front before the engine.",,
ninth_floor,location,Ninth Floor,9,,,
octo_shark,monster,Octo-Shark,5,,This is a minion of Lusca…,
odius_creeper,monster,Odius Creeper,6,,,
opposite_day_ring,item,Opposite Day Ring,6,"Opposite Day looks like a ""fat ring"" studded with five small jewels that glow ominously like tiny Soul Crystals. When the wearer is struck by a powerful spell, the ring activates: one of the jewels burns out (or explodes or disappears), and the spell rebounds at the caster. The ring can only be used five times.",,
orchid_of_eileithyia_s_grace,item,Orchid of Eileithyia's Grace,8,,"198-199 of the Kindle and print editions, or at 3:30 of Chapter 19 in the audiobook…",
orren,character,Orren,5,"Orren is a parasitic worm and a citizen of the Valtay. He describes himself as an independent consultant retained by the Syndicate rather than an employee of Borant, working in concert with the showrunners, the Syndicate government, and the controlling System AI.",,
oshun,character,Oshun,8,"During the Thorn Room Boss Battle, if her shrine is repaired: “Sweet, sweet Oshun. If you repair her shrine, you all will be protected from the next five fatal blows. Everyone will receive a fifty percent boost to their charisma. All will receive a level 10 Heal Party spell. Oshun will ascend.”",,
pvp_coupon,item,PVP Coupon,4,The coupon looks like a black ticket with a gold leaf skull embossed on it. The coupons cannot be destroyed by burning them.,"If you have this coupon in your inventory, and you kill the crawler whose name appears on the backside of this coupon, you will receive the…",
pain_amplifier_jellyfish,monster,Pain Amplifier Jellyfish,5,They inflict the Kill Me Now It Hurts debuff and a one-minute healing block. The Kill Me Now It Hurts debuff can be removed by using the Jellyfish Salve lotion.,,
peace_upgrade_patch,item,Peace Upgrade Patch,8,"A small, round patch that is black with a white, screen-printed peace symbol on it. It is the same size as the Earth Upgrade Patch.",This patch depicts a peace symbol…,
penelope,character,Penelope,4,,Warning: This beast is magically protected by Taranis…,
penn,character,Penn,9,"A tall, muscular human sergeant stood right there, carrying what looked like a steel H-beam for a building. The metallic beam had to be 20 feet long, and it looked as if it weighed two tons. The monster of a man held it on his shoulder.",,
ping_spell,skill,Ping Spell,5,,"Ping Cost: 5 Mana Also known as, “Here piggy, piggy,” or “The Night Dread,” Ping is a hunting and artillery-aiming tool for those who do not…",
platinum_sharpening_stone,item,Platinum Sharpening Stone,5,,Warning: This item has a short shelf life…,
player_killer_skull,faction,Player Killer Skull,4,Category:Needs photo A crawler gets a player killer skull after their name if they kill a fellow crawler. They also receive a Savage Box.,,
pollyslog,monster,Pollyslog,4,"The Pollyslog look like large, green-skinned fish-like humanoids. They have massive milk white eyes. At first the Pollyslogs appear lazy, uninterested in fighting. That changes when they realize they can't get onto the train and they start hissing and banging against the barricades.","Of all the monsters from prehistoric Kua-Tin mythology, the Pollyslogs are some of the most fearsome…",
portal,item,Portal,4,"Portals are a Dungeon mechanic that allows for teleportation between one location to another. Portals can be key locked to prevent unauthorized individuals from passing through. Portals can pass inside each other without issue. Things cannot be connected through a portal. Carl tries feeding a rope through one, but the rope gets dragged through the portal.",,
potion_of_bloodlust,item,Potion of Bloodlust,5,Carl gets two Potions of Bloodlust as a reward for the Milquetoast Achievement.,It’s like giving yourself a PCP enema after spending the day riding the Night Train Express…,
potion_of_half_splat,item,Potion of Half Splat,5,,,
potsy,character,Potsy,8,,He will be automatically hostile toward you because you worship Emberus…,
pox_slug,monster,Pox Slug,8,,,
precision_card,item,Precision Card,8,,,
princess_posse,faction,Princess Posse,9,The Princess Posse entered Faction Wars as Team #3. ],,
prism_industries_capacitating_and_focusing_goggles,item,Prism Industries Capacitating and Focusing Goggles,4,"Large round sunglasses without arms that magically affix themselves to Donut's face. They have a movie-star style appearance and look similar to the pair of sunglasses Bea wears. They turn Donut's Magic Missile into a laser and allow her to manipulate the power of the spell. She can split her shots into as many as four beams, and she can store the energy of one cast and combine it with another.",This one-of-a-kind item was a gift from Princess D’Nadia of the Prism Kingdom to Princess Donut of the Blood Sultanate…,
psycho_sticker,monster,Psycho Sticker,4,Hedgehog Ogres. Can be found on Mora Station #82 on the red line of The Iron Tangle.,,
quetzalcoatlus,character,Quetzalcoatlus,5,,,
raul_the_crab,character,Raul the Crab,8,"Raul is initially a proud, meditating martial artist striving for the ""heavenly throne"" and refusing to ""kowtow"" to the weak. He specializes in the Juego de maní fighting style. After being captured by Carl and Donut, however, his personality shifts drastically into a sniveling, simpering kiss-ass with severe self-confidence issues.","The land crabs, masters of the Juego de maní fighting style, have trained their whole lives for this moment…",
razor_fox,monster,Razor Fox,4,,,
reaper_spider_minion_patch,item,Reaper Spider Minion Patch,8,"A small, black and silver patch, die cut and shaped like a Reaper Spider Minion merchant. The spider merchant looks like Shi Maria, though with a shorter neck and shorter hair. The spider is carrying multiple wicker baskets lashed over her bulbous body.",This upgrade patch depicts a traveling Reaper Spider Minion merchant…,
red_beret,item,Red Beret,8,,,
reef_explorer,character,Reef Explorer,8,The Reef Explorer is wearing an etheral glowing deep dive suit.,,
reminiscence_hydra_of_malicious_compliance,character,Reminiscence Hydra of Malicious Compliance,8,"The nine-headed monster is a round, flesh-colored ball covered in Frankenstein stitches and standing on four comically stumpy legs. Its body is approximately 12' (3.66m) wide and 6' 6"" (1.98m) tall. Nine heads sprout from long, fleshy stalks that weave and wave in the air. Although it is technically a single creature, only one head is the keymaster and bound by the established rules of card combat.","441-444 of the Kindle and Paperback editions, or starting at the 9:51min marker of Chapter 46 in the audiobook…",
rev_up_magic_hair_restoration_tonic,item,Rev-Up Magic Hair Restoration Tonic,4,,,
rev_up_vitamin_shots,item,Rev-Up Vitamin Shots,4,"Despite being called ""shots,"" these pharmaceuticals are administered orally by drinking them. The potions act as powerful sedatives, and each mixture is specifically tailored to a single race of mob. The high from the drug only lasts for a limited time, forcing the addicted mobs to continually seek out their next dose.","At stage one, sufferers are overcome with violent tremors…",
robot_donut,character,Robot Donut,5,,,
rockard_s_ring_of_sniping,item,Rockard's Ring of Sniping,5,Carl takes Rockard's Ring of Sniping from Quan Ch on the Fifth Floor.,"This amber-stoned ring is named after Rockard, one of the dungeon’s most infamous crawlers…",
rosetta_thagra,character,Rosetta Thagra,4,,,
ruckus,character,Ruckus,5,,,
rude_dolph_the_blood_nosed_slay_deer,character,Rude-Dolph the Blood-Nosed Slay-Deer,8,,This creature is intangible until all the puppets have been killed…,
run_little_guenter_run_spell,skill,"Run, Little Guenter, Run Spell",9,"The book grows centipede legs and runs away from Carl. It leaks foul-smelling black liquid. The book starts shivering and whimpering and shrieking ""Stay Away! Don't Touch Me!"" While it can speak, Carl can still pull the book into his Inventory, so it is not considered a pet.",This spellbook is a Special Edition…,
sappy_gold_ring,item,Sappy Gold Ring,5,,,
satchel_bomb,item,Satchel Bomb,6,A little bag with leather handles containing explosive equivalent to three sticks of hobgoblin dynamite. Enough to level a small town.,,
scavenger_s_daughter_upgrade_patch,item,Scavenger's Daughter Upgrade Patch,8,"This patch is a thick, black piece of fabric embroidered with a white pile of skulls from various creatures, stacked up neatly into a pyramid. There is additional transparent stitching forming the image of a giant centipede crawling through all the skulls. The centipede stitching glows and becomes visible when Carl's soul essence bar is filled.",,
scroll_of_build_trench,item,Scroll of Build Trench,8,Carl receives approximately 50 Scrolls of Build Trench during the Ghosts of Earth floor.,"(x5) Boy, I hope you're up on your knowledge of the fighting techniques of the first world war…",
scroll_of_water_breathing,item,Scroll of Water Breathing,5,,Allows you to breathe underwater. Lasts as many seconds as your intelligence stat times three…,
self_immolation_spell,skill,Self-Immolation Spell,8,,Requires to be in Emberus' good graces to cast…,
seventh_floor,location,Seventh Floor,7,"The Seventh Floor was a late substitution. Midway through the previous floor, the showrunners announced that crawler resilience had prompted a complete redesign of the seventh.",,
shango,character,Shango,8,"During the Thorn Room Boss Battle, if his shrine is repaired: “He’s a little shy. You will learn a level-15 Lightning spell if you repair it. You will gain the ability to train this spell to 20. Hint, hint that spell might come in handy later. Shango will ascend.”",,
shattering_train_bomb,item,Shattering Train Bomb,4,,Shattering Train Bomb Type: A steam boiler made with a shocking disregard for safety…,
sheet_music,item,Sheet Music,6,,,
sheol_bricks,item,Sheol Bricks,4,,"If Santa gives coal to the regular naughty kids, he’d probably give this stuff to history’s greatest villains, like Hans Gruber and the guy who invented…",
shi_maria,character,Shi Maria,8,"Shi Maria is a demi-god and former resident of the celestial realm who specializes in deceit, illusion, and mind-bending spellcasting. She is deeply vindictive and deceitful, spending her days in banishment plotting revenge against everyone who has ever wronged her — a list that is, by her own account, very long.","Yeah, good luck with that. Reaper Spider Minions are regular mobs one may find on the Fifteenth Floor, working as minions of something kinda fucked up…",
shock_chomper,monster,Shock Chomper,4,"No full description is given other than ""lesser nagas with mommy issues."" Given that this whole floor is a political parody, this is most likely in reference to the Naga and the story of the Sepsis Whore. All the Shock Chompers are level 20 with an electrical attack that can be countered by hitting them, canceling the attack. They drop gold fangs and about 10 gold per body.",,
sierra,character,Sierra,6,,"This is a Bereft Minion of Viscount Fog The great, now-deceased hunter of vampires and all thing undead, Viscount Fog had trained his trusty mount, Sierra…",
silfa,character,Silfa,4,"Silfa has at least three spells, a healing spell, a map hiding skill, and an ice spell.",,
simoom,character,Simoom,4,,,
sixth_floor,location,Sixth Floor,6,"The Hunting Grounds is the second of the Dungeon's ""Volcano Storyline"" floors and is part of the Scolopendra levels. It belongs to the overarching volcano storyline that connects the 3rd, 6th, 9th, 12th, 15th, and 18th floors of the dungeon.",,
size_up_potion,item,Size-Up Potion,6,,,
skewer_belle,item,Skewer Belle,6,,"is a mushroom that, upon touching the top, extrudes a spike and causes skin to boil if it pierces you, The spike only activates if you…",
skyfowl_upgrade_patch,item,Skyfowl Upgrade Patch,6,"A small, square patch featuring a dozen flaming arrows clutched in the hands of an eagle claw. The drawing is rendered in an old-school, traditional, Sailor Jerry style.",This patch depicts the twelve flaming arrows the great Skyfowl hero Radiant Star shot into his grandfather in order to end the frozen time that plagued…,
skylar_spinach,character,Skylar Spinach,8,,Origin: Cuba Summoning duration: 60 seconds…,
sluggalo,monster,Sluggalo,8,"Sluggalos are spawned when a host is infected with the SlugPox spell or debuff. The infected host develops painful boils that eventually burst, ejecting a living slug in a shower of ooze and clear liquid. With each successive boil that bursts from the host, the resulting slug is one level higher, causing them to spawn in increasingly larger and more dangerous forms.","They're like miniature, drunk, and angry Juggalos…",
spirit_box,skill,Spirit Box,8,,"Lowers spirit resistance, and a random non-corporeal entity from the area is summoned to the location and will attempt to possess you…",
spunky_jefferson_the_enchanted_nickel_sock_of_the_elderl,item,Spunky Jefferson the Enchanted Nickel Sock of the Elderly Miser,8,,"This weapon has been upgraded twice, this is a sapient weapon, this is an incremental damage weapon…",
squonk,monster,Squonk,8,,"This damn thing is so ugly, so miserable that it is in a constant state of depression…",
station_mimic,character,Station Mimic,4,"Mimics are shapeshifting creatures that can turn into inanimate objects to fool crawlers into coming close enough to be eaten. If a part of a mimic is chopped off, the removed part turns into a spidery creature and crawls back to join the whole. Bashing weapons and magic do nothing against it. If more than 50% of the body mass is removed, it can no longer heal or transform.",,
stock_certificate,item,Stock Certificate,5,,"The bearer of this instrument now holds one share of common stock in the Sigmund Textiles Foundry, a publicly-traded company based in the Gun-ya system within…",
stuffed_grulke_infantry_figure,item,Stuffed Grulke Infantry Figure,4,,(With tags) This is the most common variation of the Grulke line of collectible figures…,
stuffed_slate_butterfly_figure,item,Stuffed Slate Butterfly Figure,6,,(With tags.) The slate butterfly is one of the more common figures in Jaxbrin’s newest lineup…,
svern,character,Svern,5,,Have you ever visited the home of an elderly widow and seen her collection of miniature spoons?…,
swordfish_interlopers,character,Swordfish Interlopers,8,,,
t_ghee_card,item,T'Ghee Card,8,"A totem card stores a single captured monster and lets its holder summon and command it. A crawler creates one by reducing a creature to 5% health or less and planting one of their squad's twenty flags in its body; the creature is converted on the spot and the card appears in the squad leader's inventory. Flags cannot be thrown or fired, and a squad that runs out never receives more.",,
team_retribution,faction,Team Retribution,9,"Team Retribution acts as the defending force of the Faction Wars, tasked with protecting Larracos. Unlike the nine attacking teams, which seek to capture the castle at the center of the funnel city, the defending team wins the season if it holds out for a full week once the final ""Peeling"" phase begins; an attacking team, by contrast, need only hold a throne room for six hours.",,
that_wasn_t_too_smart_was_it_box,item,"That Wasn't Too Smart, Was It? Box",4,,,
tipid,character,Tipid,9,"Tipid is a grizzled but deeply loyal Crest who is heavily haunted by survivor's guilt from his original crawl. Despite the trauma of his past — including sacrificing his best friend to secure his own escape — he maintains a goofy, friendly demeanor, often sporting a sideways grin and an enthusiastic, almost naive energy.",,
tom,character,Tom,8,,"Did you know that turkeys naturally have brown feathers, but the ones you see here in this farm are all white?…",
torn_book_page,item,Torn Book Page,5,,This piece of paper was mercilessly ripped from a perfectly innocent book…,
tracked_all_terrain_suicide_machine_the_royal_chariot,item,Tracked All-Terrain Suicide Machine. The Royal Chariot,5,,"If a snowmobile got drunk on moonshine and had a sweaty, ill-advised night with a hillbilly’s coon-hunting ATV, this oversized birth defect of a vehicle would…",
train_conductor_s_souvenir_hat,item,Train Conductor's Souvenir Hat,4,"A simple, non-magical, blue and white hat with the words “I rode the Iron Tangle” embroidered on it.”",,
turkey,monster,Turkey,8,,Roast at 325 for about 13-15 minutes per pound…,
twinkle_toes,skill,Twinkle Toes,5,,,
ugly_ass_backpack_with_a_completely_useless_design_that_,item,Ugly Ass Backpack With a Completely Useless Design that Only an Idiot Would Wear,4,"The Ugly-Ass Backpack looks like a large metal open-topped basket or oversized laundry hamper; the open top has a slight lip. It has reinforced Danger Dingo-hide shoulder straps and a set of tie-able waist straps, but the straps are insufficient to carry the weight of the backpack; instead, they're simply so the System AI will classify it as a backpack.",,
uncle_morty_s_insta_lawn_kill_and_undead_repellant_extra,item,"Uncle Morty’s Insta Lawn-Kill and Undead Repellant, Extra-Strength Edition",6,,,
untangling_the_iron_tangle,location,Untangling the Iron Tangle,4,,,
unwashed,character,Unwashed,9,"A midnight black, thin alien creature with no arms but multiple tentacles waving from its shoulders. The form was similar to an armless soother alien, but taller and thinner. The tentacles on its back can crackle with electricity.",,
ursensus,race,Ursensus,9,"Carl describes the babies as ""goddamn abominations"", looking a little like [https://www.dndbeyond.com/monsters/16975-owlbear?srsltid=AfmBOoqBZRoTd-HKreoHfd3TSTT6Y_T0rHOojKOTmTMSCEacxZGe6mbK Owlbears] with four legs and stubs of wings. The babies are covered in wet brown fur. Their eyes are uneven, bulbous and pug-like, with one eye being almost twice the size of the other.",I just love it when I’m allowed to create new monsters within the confines of the game rules…,
velma_the_flamethrower,item,Velma the Flamethrower,8,,,
veriluxx_realpet_dungeon_crawl_special_edition_exclusive,item,Veriluxx RealPet Dungeon Crawl Special Edition Exclusive,5,,"The ultimate play toy, Veriluxx RealPet Companions are budget-friendly, nearly indestructible collectibles that will give your child hours and hours of fun…",
viper_queen_class,class,Viper Queen Class,7,is a Class Donut offered on the Seventh Floor. It allows a user to shoot poison blob.,,
visitor,monster,Visitor,8,,"This is one of the rare urban legend cryptids that actually existed, believe it or not…",
vocal_coach_training_room,item,Vocal Coach Training Room,6,,,
wall_monitor,monster,Wall Monitor,4,,,
wall_of_fire_spell,skill,Wall of Fire Spell,5,"Cost: 15 mana Target: area around the caster Duration: unknown At level one, it creates a 10-meter long, 2-meter high wall of magical fire. If the spell is cast on a flammable surface, the surface will catch fire once the spell ends. The fire can very easily go out of control. According to Mordecai, it is a common spell that can be very powerful at higher levels.",,
wand_of_nighty_night,item,Wand of Nighty Night,8,,Knocks an opponent out onto their ass…,
war_crimes_spell,skill,War Crimes Spell,9,The spell book itself is described as bleeding and crying before the user reads it.,"As this spell is unable to be properly trained, it will start at level 5, and it will increase by 5 each time it is cast…",
warrior_s_gold_helmet_of_resistance,item,Warrior's Gold Helmet of Resistance,8,"This helmet is a piece of magical armor designed to offer resistance to the wearer. However, because the item features the word ""Warrior's"" in its title, it carries a strict equipment condition: the item only works if the person wearing it is actively wielding a sword.",,
widget,character,Widget,4,"Carl describes his accent as ""Creole guy poorly attempting a cockney accent."" Widget is very accommodating and friendly, though that might be due to Donut's high Charisma. Additionally Carl describes his appearance ""He was goblin-shaped and proportioned, though instead of clothes, he was covered in black, bristly hair. He was much smaller than a regular goblin, about the same height as Zev.",Not all gremlins are bad or evil…,
wrath_ghouls,monster,Wrath Ghouls,4,"A pair of large, ogre sized ghouls inhabit Train yard C. The wrath ghouls form a a Province Boss at station 36 if they are allowed to congregate.",,
wynne,character,Wynne,5,,The Dirigible Gnomes were once a peaceful race…,
yago,character,Yago,8,"Yago was pretty big, but nowhere near the size of a sea lion and not even close to the size of an elephant seal. According to Carl, he was six or seven feet long and probably weighed about 400 pounds. He had a thick, Cuban accent. While fighting, he made a constant stream of nonsensical kung-fu-esque noises. After upgrading, he crackled with obsidian-colored energy and was wider than he’d been before.","Before becoming a card: Ahh, the monk seal…",
you_re_not_done_yet_spell,skill,You're Not Done Yet Spell,9,,"As part of the description for Levi the 7th: Of all the War Mage spells soldiers encounter during the brutal, mass combat that will occur on…",
ysalte,character,Ysalte,5,,,
zerzura_spell,skill,Zerzura Spell,6,"Zerzura takes a full city or town, including all of its NPCs and buildings, and transfers it to a ""random"" location one Floor down. When cast on a Scolopendra floor, the settlement instead skips to the next Scolopendra floor. It doesn't transfer mobs, bosses, or red-tagged NPCs. It also doesn't transfer Stairwells or other special rooms such as Reward Rooms.",,
zhang_s_cape_of_odds,item,Zhang's Cape of Odds,9,"The cape is white with the standard [https://en.wikipedia.org/wiki/Target_archery#/media/File:WA_80_cm_archery_target.svg black, red, and yellow archery target] on the back. When it isn't activated, it gives 15% to all stats plus a level 10 Dodge Skill. Once an hour, it gives access to the Roll the Dice Skill.",,
zlurpies,monster,Zlurpies,4,"Zlurpies are waist-high, semi-intelligent warrior armadillo things that roll into armored balls when they take damage, but they were small enough to be eaten whole by Mongo, who would pick them up and crunch them like juice-filled hard candies.",,
